variable,dta_variable_label,question_text,codebook_page,question_text_filled
mapres10,mother's (or youngest same-sex parent's) occupational prestige score (2010),,,mother's (or youngest same-sex parent's) occupational prestige score (2010)
mapres105plus,mother's (or youngest same-sex parent's) occupational prestige score using thres,,,mother's (or youngest same-sex parent's) occupational prestige score using thres
marasian,close relative marry asian,,,close relative marry asian
marblk,close relative marry black person,,,close relative marry black person
marcohab,cohabitation status,,,cohabitation status
marhisp,close relative marry hispanic,,,close relative marry hispanic
marital,marital status,,,marital status
marsame,homosexual couples should have the right to marry one another,,,homosexual couples should have the right to marry one another
marsamey,same-sex couples should have the right to marry one another,,,same-sex couples should have the right to marry one another
martype,marital type,,,marital type
marwht,r favor close relative marrying white person,,,r favor close relative marrying white person
mascsee1,how masculine others see r (0 to 6 scale),,,how masculine others see r (0 to 6 scale)
mascself1,how masculine r sees self (0 to 6 scale),,,how masculine r sees self (0 to 6 scale)
masei10,r's mother's (or youngest same-sex parent's) socioeconomic index (2010),,,r's mother's (or youngest same-sex parent's) socioeconomic index (2010)
masei10educ,percentage of some college educ in maocc10 based on acs 2010,,,percentage of some college educ in maocc10 based on acs 2010
masei10inc,percentage of $45k+ earners in maocc10 based on acs 2010,,,percentage of $45k+ earners in maocc10 based on acs 2010
mawrkgrw,did mother (or youngest same-sex parent) ever work for pay for as long as a year,,,did mother (or youngest same-sex parent) ever work for pay for as long as a year
mawrkslf,mother (or youngest same-sex parent) self-emp. or worked for somebody,,,mother (or youngest same-sex parent) self-emp. or worked for somebody
mawrkslf2,"at this job, was mother (or youngest same-sex parent) an employee, self-employed",,,"at this job, was mother (or youngest same-sex parent) an employee, self-employed"
mawrkslffam,mother (or youngest same-sex parent) owned family business or farm,,,mother (or youngest same-sex parent) owned family business or farm
meddoc,x should go to general medical doctor for help,,,x should go to general medical doctor for help
mentldoc,x should go to psychiatrist for help,,,x should go to psychiatrist for help
mentlhos,x should check into a mental hospital,,,x should check into a mental hospital
mentlill,how likely x is experiencing mental illness,,,how likely x is experiencing mental illness
mentloth,x should go to other mental health professional for help,,,x should go to other mental health professional for help
meovrwrk,men hurt family when focus on work too much,,,men hurt family when focus on work too much
mhtreatd,r ever treated for mh problem,,,r ever treated for mh problem
mhtrtot2,r knows someone who received treatment for mental health,,,r knows someone who received treatment for mental health
mhunsure,people like x are unpredictable,,,people like x are unpredictable
mntlill,is child experiencing a mental illness,,,is child experiencing a mental illness
mobile16,geographic mobility since age 16,,,geographic mobility since age 16
mobiledata,household has access to internet using cellular data plan,,,household has access to internet using cellular data plan
mode,interview done in-person or over the phone,,,interview done in-person or over the phone
modelobby,has r contacted a politician in last 12 months,,,has r contacted a politician in last 12 months
modeorg,has r belonged to an activist group in last 12 months,,,has r belonged to an activist group in last 12 months
modeorgprot,has r organized a protest in last 12 months,,,has r organized a protest in last 12 months
modepet,has r signed a petition in last 12 months,,,has r signed a petition in last 12 months
modeprot,has r participated in a protest in last 12 months,,,has r participated in a protest in last 12 months
modesequence,initial mode of contact for respondent,,,initial mode of contact for respondent
morextrm,everyone is like x but x's case is just a bit more extreme and ongoing,,,everyone is like x but x's case is just a bit more extreme and ongoing
